name,role_group,role_detail,affiliation,country,gender,career_status
Lukas Röseler,Journal Management,"Journal Manager, Editor-in-Chief",University of Münster,DE,male,tenured
Miriam Müller,Journal Management,Editorial Assistant,University of Münster,DE,female,student
Prince Oppong Boakye,Journal Management,Research Intern,University of Münster,DE,male,student
Neele Kolber,Journal Management,Research Intern,University of Münster,DE,female,student
Victoria Moser,Journal Management,Editorial Assistant,University of Münster,DE,female,student
Flavio Azevedo,Senior Editors,Founding Editor; Political Science,University of Utrecht,NL,male,tenured
Lukas Wallrich,Senior Editors,"Founding Editor; Management Sciences, Psychology, Educational Sciences, Methods",Birkbeck University of London,GB,male,tenured
Edzer Pebesma,Associate Editors,Geosciences,University of Münster,DE,male,tenured
Elen Le Foll,Associate Editors,Linguistics,University of Cologne,DE,,
Ingmar Visser,Associate Editors,"Developmental Psychology, Quantitative Methods",University of Amsterdam,NL,male,tenured
Jan Horstmann,Associate Editors,Digital Humanities,University of Hamburg,DE,male,tenured
Janik Goltermann,Associate Editors,"Mental Health, Neuroimaging, Clinical Psychology",Charité–Universitätsmedizin Berlin,DE,male,ECR
Karina van Dalen-Oskam,Associate Editors,Digital Humanities,University of Amsterdam,NL,female,tenured
Lydia Riedl,Associate Editors,"Linguistics, Neuroscience, Metascience",Marburg University,DE,female,ECR
Max Korbmacher,Associate Editors,"Neuroscience, Psychology, Metascience, Medicine, Neurology, Radiology",Haukeland University Hospital,NO,male,ECR
Steven Verheyen,Associate Editors,"Cognitive Psychology, Methods, Experimental Philosophy",Erasmus University Rotterdam,NL,male,tenured
Sebastian Kurten,Associate Editors,Youth Studies & Interdisciplinary Social Science (Quantitative Methods),Utrecht University,NL,male,ECR
Susanne Adler,Associate Editors,Marketing,Ludwig-Maximilians-Universität München,DE,female,ECR
Tamarinde Haven,Associate Editors,"Qualitative research, Mixed-Methods Research, Psychological and Social Science",Tilburg University,NL,female,tenured
Thomas Rhys Evans,Associate Editors,"Psychology, Methods, Metascience",University of Greenwich,GB,male,tenured
Ulrike Gut,Associate Editors,Linguistics,University of Münster,DE,female,tenured
Moin Syed,Ombudsperson,Ombudsperson,University of Minnesota,US,male,tenured
Thomas Rhys Evans,Social Responsibility Champions,Social Responsibility Champion,University of Greenwich,GB,male,tenured
Flavio Azevedo,Social Responsibility Champions,Social Responsibility Champion,University of Utrecht,NL,male,tenured
Helena Hartmann,Science Communication Champion,Science Communication Champion,University Hospital Essen,DE,female,ecr
Alex Holcombe,Advisory Board,Advisory Board,University of Sydney,AU,male,tenured
Brian Nosek,Advisory Board,Advisory Board,Center for Open Science & University of Virginia,US,male,tenured
Christof Schöch,Advisory Board,Advisory Board,Trier University,DE,male,tenured
Crystal N. Steltenpohl,Advisory Board,Advisory Board,Center for Open Science,US,female,tenured
Guido Scherp,Advisory Board,Advisory Board,ZBW – Leibniz Information Centre for Economics,DE,male,tenured
Heidi Seibold,Advisory Board,Advisory Board,Digital Research Academy,DE,female,practitioner
Jeroen Sondervan,Advisory Board,Advisory Board,Dutch Research Council,NL,male,tenured
Kevin McManus,Advisory Board,Advisory Board,University of Pittsburgh,US,male,tenured
Louise Bezuidenhout,Advisory Board,Advisory Board,Leiden University,NL,female,tenured
Marianne Saam,Advisory Board,Advisory Board,ZBW – Leibniz Information Centre for Economics,DE,female,tenured
Mario Gollwitzer,Advisory Board,Advisory Board,Ludwig-Maximilians-Universität München,DE,male,tenured
Michael C. Frank,Advisory Board,Advisory Board,Stanford University,US,male,tenured
Mitja Back,Advisory Board,Advisory Board,University of Münster,DE,male,tenured
Moin Syed,Advisory Board,Advisory Board,University of Minnesota,US,male,tenured
Priya Silverstein,Advisory Board,Advisory Board,University of Coimbra,PT,female,ECR
Rima-Maria Rahal,Advisory Board,Advisory Board,Vienna University of Economics and Business,AT,,
Susann Auer,Advisory Board,Advisory Board,Technische Universität Dresden,DE,,
Tobias Dienlin,Advisory Board,Advisory Board,University of Zurich,CH,,
