"PKP Usage statistics report"
"PKP Default usage statistics report (COUNTER ready)"
"Metric: ojs::counter"
"Report URL: https://ejournals.uni-muenster.de/replicationresearch/stats/reports/generateReport?metricType[]=ojs%3A%3Acounter&columns[]=assoc_id&columns[]=assoc_type&columns[]=file_type&columns[]=submission_id&columns[]=context_id&columns[]=pkp_section_id&columns[]=city&columns[]=region&columns[]=country_id&columns[]=month&columns[]=metric_type&columns[]=metric&columns[]=assoc_object_id&filters=%7B%22context_id%22%3A36%7D&orderBy=%7B%22month%22%3A%22ASC%22%7D"

,ID,Type,Title,"File Type",Article,Journal,Section,City,Region,Country,Month,Metric,Count,Issue
,36,Journal,"Replication Research",,,"Replication Research",,,,,202503,ojs::counter,34,"Object not found in database"
,36,Journal,"Replication Research",,,"Replication Research",,,,,202504,ojs::counter,419,"Object not found in database"
,36,Journal,"Replication Research",,,"Replication Research",,,,,202505,ojs::counter,884,"Object not found in database"
,36,Journal,"Replication Research",,,"Replication Research",,,,,202506,ojs::counter,924,"Object not found in database"
,36,Journal,"Replication Research",,,"Replication Research",,,,,202507,ojs::counter,924,"Object not found in database"
,36,Journal,"Replication Research",,,"Replication Research",,,,,202508,ojs::counter,905,"Object not found in database"
,36,Journal,"Replication Research",,,"Replication Research",,,,,202509,ojs::counter,822,"Object not found in database"
,9022,Article,"A Community Model for Rigorous and Inclusive Scholarship",,"A Community Model for Rigorous and Inclusive Scholarship","Replication Research","Editorial Communication",,,,202510,ojs::counter,459,"Vol. 1 (2025)"
,634,Issue,"Vol. 1 (2025)",,,"Replication Research",,,,,202510,ojs::counter,69,"Object not found in database"
,22925,"Submission Files",Inaugural_Editorial_of_Replication_Research_R2.pdf,PDF,"A Community Model for Rigorous and Inclusive Scholarship","Replication Research","Editorial Communication",,,,202510,ojs::counter,159,"Vol. 1 (2025)"
,36,Journal,"Replication Research",,,"Replication Research",,,,,202510,ojs::counter,3117,"Object not found in database"
,634,Issue,"Vol. 1 (2025)",,,"Replication Research",,,,,202511,ojs::counter,95,"Object not found in database"
